8335.999	4.37E-09									
8335.499	4.37E-09									
8334.999	4.37E-09									
8334.499	4.37E-09									
8333.999	4.37E-09									
8333.499	4.36E-09									
8332.999	4.37E-09									
8332.499	4.37E-09									
8331.999	4.37E-09									
8331.499	4.37E-09									
8330.999	4.36E-09									
8330.499	4.36E-09									
8329.999	4.37E-09									
8329.499	4.36E-09									
8328.999	4.37E-09									
8328.499	4.36E-09									
8327.999	4.36E-09									
8327.499	4.36E-09									
8326.999	4.36E-09									
8326.499	4.36E-09									
8325.999	4.36E-09									
8325.499	4.36E-09									
8324.999	4.36E-09									
8324.499	4.36E-09									
8323.999	4.36E-09									
8323.499	4.36E-09									
8322.999	4.36E-09									
8322.499	4.36E-09									
8321.999	4.36E-09									
8321.499	4.36E-09									
8320.999	4.36E-09									
8320.499	4.36E-09									
8319.999	4.36E-09									
8319.499	4.36E-09									
8318.999	4.36E-09									
8318.499	4.36E-09									
8317.999	4.36E-09									
8317.499	4.36E-09									
8316.999	4.36E-09									
8316.499	4.36E-09									
8315.999	4.36E-09									
8315.499	4.36E-09									
8314.999	4.36E-09									
8314.499	4.36E-09									
8313.999	4.36E-09									
8313.499	4.36E-09									
8312.999	4.36E-09									
8312.499	4.36E-09									
8311.999	4.36E-09									
8311.499	4.36E-09									
8310.999	4.36E-09									
8310.499	4.36E-09									
8309.999	4.36E-09									
8309.499	4.36E-09									
8308.999	4.36E-09									
8308.499	4.36E-09									
8307.999	4.36E-09									
8307.499	4.36E-09									
8306.999	4.36E-09									
8306.499	4.36E-09									
8305.999	4.36E-09									
8305.499	4.36E-09									
8304.999	4.36E-09									
8304.499	4.36E-09									
8303.999	4.36E-09									
8303.499	4.36E-09									
8302.999	4.36E-09									
8302.499	4.36E-09									
8301.999	4.36E-09									
8301.499	4.36E-09									
8300.999	4.36E-09									
8300.499	4.36E-09									
8299.999	4.36E-09									
8299.499	4.36E-09									
8298.999	4.36E-09									
8298.499	4.36E-09									
8297.999	4.36E-09									
8297.499	4.36E-09									
8296.999	4.35E-09									
8296.499	4.36E-09									
8295.999	4.36E-09									
8295.499	4.36E-09									
8294.999	4.36E-09									
8294.499	4.35E-09									
8293.999	4.36E-09									
8293.499	4.36E-09									
8292.999	4.35E-09									
8292.499	4.35E-09									
8291.999	4.36E-09									
8291.499	4.36E-09									
8290.999	4.35E-09									
8290.499	4.35E-09									
8289.999	4.36E-09									
8289.499	4.35E-09									
8288.999	4.35E-09									
8288.499	4.35E-09									
8287.999	4.35E-09									
8287.499	4.35E-09									
8286.999	4.35E-09									
8286.499	4.35E-09									
8285.999	4.35E-09									
8285.499	4.35E-09									
8284.999	4.35E-09									
8284.499	4.35E-09									
8283.999	4.35E-09									
8283.499	4.35E-09									
8282.999	4.35E-09									
8282.499	4.35E-09									
8281.999	4.35E-09									
8281.499	4.35E-09									
8280.999	4.35E-09									
8280.499	4.35E-09									
8279.999	4.35E-09									
8279.499	4.35E-09									
8278.999	4.35E-09									
8278.499	4.35E-09									
8277.999	4.35E-09									
8277.499	4.35E-09									
8276.999	4.35E-09									
8276.499	4.35E-09									
8275.999	4.35E-09									
8275.499	4.35E-09									
8274.999	4.35E-09									
8274.499	4.35E-09									
8273.999	4.35E-09									
8273.499	4.35E-09									
8272.999	4.35E-09									
8272.499	4.35E-09									
8271.999	4.35E-09									
8271.499	4.35E-09									
8270.999	4.35E-09									
8270.499	4.35E-09									
8269.999	4.35E-09									
8269.499	4.35E-09									
8268.999	4.35E-09									
8268.499	4.35E-09									
8267.999	4.35E-09									
8267.499	4.35E-09									
8266.999	4.35E-09									
8266.499	4.35E-09									
8265.999	4.35E-09									
8265.499	4.35E-09									
8264.999	4.35E-09									
8264.499	4.35E-09									
8263.999	4.35E-09									
8263.499	4.35E-09									
8262.999	4.35E-09									
8262.499	4.35E-09									
8261.999	4.35E-09									
8261.499	4.34E-09									
8260.999	4.34E-09									
8260.499	4.34E-09									
8259.999	4.35E-09									
8259.499	4.34E-09									
8258.999	4.34E-09									
8258.499	4.35E-09									
8257.999	4.34E-09									
8257.499	4.34E-09									
8256.999	4.34E-09									
8256.499	4.34E-09									
8255.999	4.35E-09									
8255.499	4.34E-09									
8254.999	4.34E-09									
8254.499	4.34E-09									
8253.999	4.34E-09									
8253.499	4.34E-09									
8252.999	4.34E-09									
8252.499	4.34E-09									
8251.999	4.34E-09									
8251.499	4.34E-09									
8250.999	4.34E-09									
8250.499	4.34E-09									
8249.999	4.34E-09									
8249.499	4.34E-09									
8248.999	4.34E-09									
8248.499	4.34E-09									
8247.999	4.34E-09									
8247.499	4.34E-09									
8246.999	4.34E-09									
8246.499	4.34E-09									
8245.999	4.34E-09									
8245.499	4.34E-09									
8244.999	4.34E-09									
8244.499	4.34E-09									
8243.999	4.34E-09									
8243.499	4.34E-09									
8242.999	4.34E-09									
8242.499	4.34E-09									
8241.999	4.34E-09									
8241.499	4.34E-09									
8240.999	4.34E-09									
8240.499	4.34E-09									
8239.999	4.34E-09									
8239.499	4.34E-09									
8238.999	4.34E-09									
8238.499	4.34E-09									
8237.999	4.34E-09									
8237.499	4.34E-09									
8236.999	4.34E-09									
8236.499	4.34E-09									
8235.999	4.34E-09									
8235.499	4.34E-09									
8234.999	4.34E-09									
8234.499	4.34E-09									
8233.999	4.34E-09									
8233.499	4.34E-09									
8232.999	4.34E-09									
8232.499	4.33E-09									
8231.999	4.34E-09									
8231.499	4.33E-09									
8230.999	4.33E-09									
8230.499	4.33E-09									
8229.999	4.34E-09									
8229.499	4.33E-09									
8228.999	4.33E-09									
8228.499	4.34E-09									
8227.999	4.34E-09									
8227.499	4.33E-09									
8226.999	4.33E-09									
8226.499	4.33E-09									
8225.999	4.33E-09									
8225.499	4.33E-09									
8224.999	4.33E-09									
8224.499	4.33E-09									
8223.999	4.33E-09									
8223.499	4.33E-09									
8222.999	4.33E-09									
8222.499	4.33E-09									
8221.999	4.33E-09									
8221.499	4.33E-09									
8220.999	4.33E-09									
8220.499	4.33E-09									
8219.999	4.33E-09									
8219.499	4.33E-09									
8218.999	4.33E-09									
8218.499	4.33E-09									
8217.999	4.33E-09									
8217.499	4.33E-09									
8216.999	4.33E-09									
8216.499	4.33E-09									
8215.999	4.33E-09									
8215.499	4.33E-09									
8214.999	4.33E-09									
8214.499	4.33E-09									
8213.999	4.33E-09									
8213.499	4.33E-09									
8212.999	4.33E-09									
8212.499	4.33E-09									
8211.999	4.33E-09									
8211.499	4.33E-09									
8210.999	4.33E-09									
8210.499	4.33E-09									
8209.999	4.33E-09									
8209.499	4.32E-09									
8208.999	4.33E-09									
8208.499	4.33E-09									
8207.999	4.33E-09									
8207.499	4.33E-09									
8206.999	4.32E-09									
8206.499	4.33E-09									
8205.999	4.32E-09									
8205.499	4.32E-09									
8204.999	4.32E-09									
8204.499	4.32E-09									
8203.999	4.32E-09									
