July 24, 2026   15:49:15
Probe Approach Curve
File: 20260724_pac_positive_pt side_2
Data Source:  Experiment
Instrument Model:  CHI920D
Header: 
Note: 

Probe E (V) = 0.45
Sensitivity (A/V) = 1e-9
End Current Ratio (%) = 25
Max Incr (um) = 1
Withdraw Dist (um) = 50
Quiet Time (sec) = 2

Distance/um, Current/A

680.900, 3.022e-9
681.900, 3.021e-9
682.900, 3.019e-9
683.900, 3.022e-9
684.900, 3.019e-9
685.900, 3.021e-9
686.900, 3.019e-9
687.900, 3.018e-9
688.900, 3.020e-9
689.900, 3.017e-9
690.900, 3.019e-9
691.900, 3.017e-9
692.900, 3.016e-9
693.900, 3.018e-9
694.900, 3.016e-9
695.900, 3.017e-9
696.900, 3.017e-9
697.900, 3.014e-9
698.900, 3.017e-9
699.900, 3.014e-9
700.900, 3.015e-9
701.900, 3.015e-9
702.900, 3.012e-9
703.900, 3.015e-9
704.900, 3.012e-9
705.900, 3.013e-9
706.900, 3.013e-9
707.900, 3.011e-9
708.900, 3.013e-9
709.900, 3.011e-9
710.900, 3.011e-9
711.900, 3.011e-9
712.900, 3.009e-9
713.900, 3.011e-9
714.900, 3.008e-9
715.900, 3.009e-9
716.900, 3.010e-9
717.900, 3.007e-9
718.900, 3.009e-9
719.900, 3.007e-9
720.900, 3.007e-9
721.900, 3.008e-9
722.900, 3.005e-9
723.900, 3.008e-9
724.900, 3.006e-9
725.900, 3.006e-9
726.900, 3.006e-9
727.900, 3.004e-9
728.900, 3.006e-9
729.900, 3.003e-9
730.900, 3.004e-9
731.900, 3.005e-9
732.900, 3.002e-9
733.900, 3.005e-9
734.900, 3.002e-9
735.900, 3.002e-9
736.900, 3.003e-9
737.900, 3.000e-9
738.900, 3.002e-9
739.900, 3.000e-9
740.900, 3.001e-9
741.900, 3.001e-9
742.900, 2.998e-9
743.900, 3.000e-9
744.900, 2.999e-9
745.900, 2.998e-9
746.900, 2.999e-9
747.900, 2.996e-9
748.900, 2.998e-9
749.900, 2.997e-9
750.900, 2.995e-9
751.900, 2.998e-9
752.900, 2.995e-9
753.900, 2.996e-9
754.900, 2.996e-9
755.900, 2.994e-9
756.900, 2.996e-9
757.900, 2.993e-9
758.900, 2.994e-9
759.900, 2.994e-9
760.900, 2.992e-9
761.900, 2.995e-9
762.900, 2.992e-9
763.900, 2.992e-9
764.900, 2.993e-9
765.900, 2.990e-9
766.900, 2.993e-9
767.900, 2.991e-9
768.900, 2.990e-9
769.900, 2.991e-9
770.900, 2.989e-9
771.900, 2.991e-9
772.900, 2.989e-9
773.900, 2.988e-9
774.900, 2.989e-9
775.900, 2.987e-9
776.900, 2.989e-9
777.900, 2.988e-9
778.900, 2.986e-9
779.900, 2.989e-9
780.900, 2.985e-9
781.900, 2.987e-9
782.900, 2.986e-9
783.900, 2.984e-9
784.900, 2.987e-9
785.900, 2.984e-9
786.900, 2.985e-9
787.900, 2.985e-9
788.900, 2.983e-9
789.900, 2.985e-9
790.900, 2.983e-9
791.900, 2.982e-9
792.900, 2.983e-9
793.900, 2.980e-9
794.900, 2.983e-9
795.900, 2.980e-9
796.900, 2.980e-9
797.900, 2.981e-9
798.900, 2.978e-9
799.900, 2.981e-9
800.900, 2.979e-9
801.900, 2.980e-9
802.900, 2.977e-9
803.900, 2.979e-9
804.900, 2.976e-9
805.900, 2.977e-9
806.900, 2.977e-9
807.900, 2.975e-9
808.900, 2.977e-9
809.900, 2.974e-9
810.900, 2.976e-9
811.900, 2.974e-9
812.900, 2.973e-9
813.900, 2.976e-9
814.900, 2.972e-9
815.900, 2.974e-9
816.900, 2.973e-9
817.900, 2.971e-9
818.900, 2.973e-9
819.900, 2.970e-9
820.900, 2.972e-9
821.900, 2.971e-9
822.900, 2.970e-9
823.900, 2.972e-9
824.900, 2.968e-9
825.900, 2.970e-9
826.900, 2.969e-9
827.900, 2.967e-9
828.900, 2.970e-9
829.900, 2.967e-9
830.900, 2.968e-9
831.900, 2.968e-9
832.900, 2.965e-9
833.900, 2.968e-9
834.900, 2.965e-9
835.900, 2.966e-9
836.900, 2.966e-9
837.900, 2.964e-9
838.900, 2.966e-9
839.900, 2.964e-9
840.900, 2.964e-9
841.900, 2.965e-9
842.900, 2.963e-9
843.900, 2.965e-9
844.900, 2.962e-9
845.900, 2.963e-9
846.900, 2.963e-9
847.900, 2.960e-9
848.900, 2.963e-9
849.900, 2.961e-9
850.900, 2.961e-9
851.900, 2.962e-9
852.900, 2.959e-9
853.900, 2.961e-9
854.900, 2.959e-9
855.900, 2.959e-9
856.900, 2.960e-9
857.900, 2.957e-9
858.900, 2.960e-9
859.900, 2.958e-9
860.900, 2.957e-9
861.900, 2.959e-9
862.900, 2.956e-9
863.900, 2.958e-9
864.900, 2.956e-9
865.900, 2.955e-9
866.900, 2.957e-9
867.900, 2.954e-9
868.900, 2.956e-9
869.900, 2.955e-9
870.900, 2.953e-9
871.900, 2.955e-9
872.900, 2.953e-9
873.900, 2.954e-9
874.900, 2.954e-9
875.900, 2.952e-9
876.900, 2.954e-9
877.900, 2.951e-9
878.900, 2.952e-9
879.900, 2.952e-9
880.900, 2.950e-9
881.900, 2.953e-9
882.900, 2.950e-9
883.900, 2.951e-9
884.900, 2.951e-9
885.900, 2.948e-9
886.900, 2.951e-9
887.900, 2.948e-9
888.900, 2.949e-9
889.900, 2.949e-9
890.900, 2.947e-9
891.900, 2.950e-9
