# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 3:02:36 PM
# Stepper motors position: X 14,029.400 µm; Y 9,891.000 µm; Z 8,391.499 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8401.499, -90.000, 4.3194580078125E-09
8400.999, -90.500, 4.31884765625E-09
8400.499, -91.000, 4.31976318359375E-09
8399.999, -91.500, 4.317626953125E-09
8399.499, -92.000, 4.3194580078125E-09
8398.999, -92.500, 4.3182373046875E-09
8398.499, -93.000, 4.31884765625E-09
8397.999, -93.500, 4.3182373046875E-09
8397.499, -94.000, 4.317626953125E-09
8396.999, -94.500, 4.31793212890625E-09
8396.499, -95.000, 4.31854248046875E-09
8395.999, -95.500, 4.31915283203125E-09
8395.499, -96.000, 4.31793212890625E-09
8394.999, -96.500, 4.31640625E-09
8394.499, -97.000, 4.31671142578125E-09
8393.999, -97.500, 4.315185546875E-09
8393.499, -98.000, 4.31640625E-09
8392.999, -98.500, 4.317626953125E-09
8392.499, -99.000, 4.31793212890625E-09
8391.999, -99.500, 4.31671142578125E-09
8391.499, -100.000, 4.3182373046875E-09
8390.999, -100.500, 4.3170166015625E-09
8390.499, -101.000, 4.31732177734375E-09
8389.999, -101.500, 4.3170166015625E-09
8389.499, -102.000, 4.31732177734375E-09
8388.999, -102.500, 4.31640625E-09
8388.499, -103.000, 4.31793212890625E-09
8387.999, -103.500, 4.31732177734375E-09
8387.499, -104.000, 4.3157958984375E-09
8386.999, -104.500, 4.31671142578125E-09
8386.499, -105.000, 4.31640625E-09
8385.999, -105.500, 4.31488037109375E-09
8385.499, -106.000, 4.315185546875E-09
8384.999, -106.500, 4.31640625E-09
8384.499, -107.000, 4.31488037109375E-09
8383.999, -107.500, 4.3157958984375E-09
8383.499, -108.000, 4.3157958984375E-09
8382.999, -108.500, 4.31396484375E-09
8382.499, -109.000, 4.31304931640625E-09
8381.999, -109.500, 4.31640625E-09
8381.499, -110.000, 4.31488037109375E-09
8380.999, -110.500, 4.31640625E-09
8380.499, -111.000, 4.31365966796875E-09
8379.999, -111.500, 4.315185546875E-09
8379.499, -112.000, 4.31640625E-09
8378.999, -112.500, 4.315185546875E-09
8378.499, -113.000, 4.3133544921875E-09
8377.999, -113.500, 4.315185546875E-09
8377.499, -114.000, 4.31488037109375E-09
8376.999, -114.500, 4.31396484375E-09
8376.499, -115.000, 4.315185546875E-09
8375.999, -115.500, 4.31396484375E-09
8375.499, -116.000, 4.31427001953125E-09
8374.999, -116.500, 4.3145751953125E-09
8374.499, -117.000, 4.31365966796875E-09
8373.999, -117.500, 4.3133544921875E-09
8373.499, -118.000, 4.31396484375E-09
8372.999, -118.500, 4.312744140625E-09
8372.499, -119.000, 4.3145751953125E-09
8371.999, -119.500, 4.312744140625E-09
8371.499, -120.000, 4.31304931640625E-09
8370.999, -120.500, 4.3157958984375E-09
8370.499, -121.000, 4.3133544921875E-09
8369.999, -121.500, 4.3133544921875E-09
8369.499, -122.000, 4.31427001953125E-09
8368.999, -122.500, 4.31427001953125E-09
8368.499, -123.000, 4.31243896484375E-09
8367.999, -123.500, 4.31304931640625E-09
8367.499, -124.000, 4.31365966796875E-09
8366.999, -124.500, 4.31365966796875E-09
8366.499, -125.000, 4.31182861328125E-09
8365.999, -125.500, 4.31304931640625E-09
8365.499, -126.000, 4.310302734375E-09
8364.999, -126.500, 4.31365966796875E-09
8364.499, -127.000, 4.3121337890625E-09
8363.999, -127.500, 4.31182861328125E-09
8363.499, -128.000, 4.3109130859375E-09
8362.999, -128.500, 4.31427001953125E-09
8362.499, -129.000, 4.31304931640625E-09
8361.999, -129.500, 4.3115234375E-09
8361.499, -130.000, 4.31182861328125E-09
8360.999, -130.500, 4.3121337890625E-09
8360.499, -131.000, 4.3115234375E-09
8359.999, -131.500, 4.3121337890625E-09
8359.499, -132.000, 4.31182861328125E-09
8358.999, -132.500, 4.3109130859375E-09
8358.499, -133.000, 4.312744140625E-09
8357.999, -133.500, 4.31304931640625E-09
8357.499, -134.000, 4.3109130859375E-09
8356.999, -134.500, 4.3121337890625E-09
8356.499, -135.000, 4.30938720703125E-09
8355.999, -135.500, 4.31060791015625E-09
8355.499, -136.000, 4.3109130859375E-09
8354.999, -136.500, 4.3109130859375E-09
8354.499, -137.000, 4.30999755859375E-09
8353.999, -137.500, 4.30999755859375E-09
8353.499, -138.000, 4.3109130859375E-09
8352.999, -138.500, 4.30938720703125E-09
8352.499, -139.000, 4.3115234375E-09
8351.999, -139.500, 4.307861328125E-09
8351.499, -140.000, 4.30999755859375E-09
8350.999, -140.500, 4.30999755859375E-09
8350.499, -141.000, 4.3096923828125E-09
8349.999, -141.500, 4.3084716796875E-09
8349.499, -142.000, 4.307861328125E-09
8348.999, -142.500, 4.30938720703125E-09
8348.499, -143.000, 4.30908203125E-09
8347.999, -143.500, 4.30908203125E-09
8347.499, -144.000, 4.30877685546875E-09
8346.999, -144.500, 4.3096923828125E-09
8346.499, -145.000, 4.30938720703125E-09
8345.999, -145.500, 4.3084716796875E-09
8345.499, -146.000, 4.30908203125E-09
8344.999, -146.500, 4.3109130859375E-09
8344.499, -147.000, 4.307861328125E-09
8343.999, -147.500, 4.3084716796875E-09
8343.499, -148.000, 4.310302734375E-09
8342.999, -148.500, 4.30816650390625E-09
8342.499, -149.000, 4.307861328125E-09
8341.999, -149.500, 4.30908203125E-09
8341.499, -150.000, 4.31060791015625E-09
8340.999, -150.500, 4.30877685546875E-09
8340.499, -151.000, 4.30755615234375E-09
8339.999, -151.500, 4.30816650390625E-09
8339.499, -152.000, 4.30755615234375E-09
8338.999, -152.500, 4.30877685546875E-09
8338.499, -153.000, 4.30816650390625E-09
8337.999, -153.500, 4.307861328125E-09
8337.499, -154.000, 4.3072509765625E-09
8336.999, -154.500, 4.30938720703125E-09
8336.499, -155.000, 4.30694580078125E-09
8335.999, -155.500, 4.30877685546875E-09
8335.499, -156.000, 4.3060302734375E-09
8334.999, -156.500, 4.30816650390625E-09
8334.499, -157.000, 4.30694580078125E-09
8333.999, -157.500, 4.305419921875E-09
8333.499, -158.000, 4.30816650390625E-09
8332.999, -158.500, 4.30633544921875E-09
8332.499, -159.000, 4.30633544921875E-09
8331.999, -159.500, 4.3060302734375E-09
8331.499, -160.000, 4.30633544921875E-09
8330.999, -160.500, 4.3060302734375E-09
8330.499, -161.000, 4.306640625E-09
8329.999, -161.500, 4.307861328125E-09
8329.499, -162.000, 4.30633544921875E-09
8328.999, -162.500, 4.306640625E-09
8328.499, -163.000, 4.306640625E-09
8327.999, -163.500, 4.30694580078125E-09
8327.499, -164.000, 4.30511474609375E-09
8326.999, -164.500, 4.306640625E-09
8326.499, -165.000, 4.3048095703125E-09
8325.999, -165.500, 4.306640625E-09
8325.499, -166.000, 4.30572509765625E-09
8324.999, -166.500, 4.30572509765625E-09
8324.499, -167.000, 4.302978515625E-09
8323.999, -167.500, 4.30389404296875E-09
8323.499, -168.000, 4.305419921875E-09
8322.999, -168.500, 4.305419921875E-09
8322.499, -169.000, 4.3048095703125E-09
8321.999, -169.500, 4.3060302734375E-09
8321.499, -170.000, 4.30572509765625E-09
8320.999, -170.500, 4.30572509765625E-09
8320.499, -171.000, 4.30328369140625E-09
8319.999, -171.500, 4.30511474609375E-09
8319.499, -172.000, 4.30572509765625E-09
8318.999, -172.500, 4.305419921875E-09
8318.499, -173.000, 4.30419921875E-09
8317.999, -173.500, 4.30450439453125E-09
8317.499, -174.000, 4.30572509765625E-09
8316.999, -174.500, 4.30511474609375E-09
8316.499, -175.000, 4.30267333984375E-09
8315.999, -175.500, 4.30419921875E-09
8315.499, -176.000, 4.3048095703125E-09
8314.999, -176.500, 4.30328369140625E-09
8314.499, -177.000, 4.30328369140625E-09
8313.999, -177.500, 4.30389404296875E-09
8313.499, -178.000, 4.3048095703125E-09
8312.999, -178.500, 4.3035888671875E-09
8312.499, -179.000, 4.30572509765625E-09
8311.999, -179.500, 4.302978515625E-09
8311.499, -180.000, 4.3035888671875E-09
8310.999, -180.500, 4.30389404296875E-09
8310.499, -181.000, 4.30450439453125E-09
8309.999, -181.500, 4.30328369140625E-09
8309.499, -182.000, 4.30328369140625E-09
8308.999, -182.500, 4.30206298828125E-09
8308.499, -183.000, 4.30328369140625E-09
8307.999, -183.500, 4.30389404296875E-09
8307.499, -184.000, 4.3017578125E-09
8306.999, -184.500, 4.3023681640625E-09
8306.499, -185.000, 4.3035888671875E-09
8305.999, -185.500, 4.30267333984375E-09
8305.499, -186.000, 4.3023681640625E-09
8304.999, -186.500, 4.30450439453125E-09
8304.499, -187.000, 4.3023681640625E-09
8303.999, -187.500, 4.3011474609375E-09
8303.499, -188.000, 4.30206298828125E-09
8302.999, -188.500, 4.30145263671875E-09
8302.499, -189.000, 4.3023681640625E-09
8301.999, -189.500, 4.30084228515625E-09
8301.499, -190.000, 4.302978515625E-09
