# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 4:04:15 PM
# Stepper motors position: X 14,129.400 µm; Y 9,891.000 µm; Z 8,295.999 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8295.499, -100.500, 3.92669677734375E-09
8294.999, -101.000, 3.92547607421875E-09
8294.499, -101.500, 3.92608642578125E-09
8293.999, -102.000, 3.9263916015625E-09
8293.499, -102.500, 3.92547607421875E-09
8292.999, -103.000, 3.92547607421875E-09
8292.499, -103.500, 3.924560546875E-09
8291.999, -104.000, 3.9239501953125E-09
8291.499, -104.500, 3.92425537109375E-09
8290.999, -105.000, 3.9227294921875E-09
8290.499, -105.500, 3.92181396484375E-09
8289.999, -106.000, 3.92303466796875E-09
8289.499, -106.500, 3.92333984375E-09
8288.999, -107.000, 3.9227294921875E-09
8288.499, -107.500, 3.92059326171875E-09
8287.999, -108.000, 3.9215087890625E-09
8287.499, -108.500, 3.9208984375E-09
8286.999, -109.000, 3.9208984375E-09
8286.499, -109.500, 3.91876220703125E-09
8285.999, -110.000, 3.91998291015625E-09
8285.499, -110.500, 3.9190673828125E-09
8284.999, -111.000, 3.91845703125E-09
8284.499, -111.500, 3.9178466796875E-09
8283.999, -112.000, 3.91754150390625E-09
8283.499, -112.500, 3.9166259765625E-09
8282.999, -113.000, 3.91754150390625E-09
8282.499, -113.500, 3.91510009765625E-09
8281.999, -114.000, 3.91693115234375E-09
8281.499, -114.500, 3.916015625E-09
8280.999, -115.000, 3.9154052734375E-09
8280.499, -115.500, 3.914794921875E-09
8279.999, -116.000, 3.91510009765625E-09
8279.499, -116.500, 3.91571044921875E-09
8278.999, -117.000, 3.91632080078125E-09
8278.499, -117.500, 3.914794921875E-09
8277.999, -118.000, 3.91387939453125E-09
8277.499, -118.500, 3.91326904296875E-09
8276.999, -119.000, 3.91204833984375E-09
8276.499, -119.500, 3.9129638671875E-09
8275.999, -120.000, 3.9117431640625E-09
8275.499, -120.500, 3.91204833984375E-09
8274.999, -121.000, 3.90960693359375E-09
8274.499, -121.500, 3.9105224609375E-09
8273.999, -122.000, 3.9105224609375E-09
8273.499, -122.500, 3.90960693359375E-09
8272.999, -123.000, 3.91082763671875E-09
8272.499, -123.500, 3.909912109375E-09
8271.999, -124.000, 3.90869140625E-09
8271.499, -124.500, 3.90869140625E-09
8270.999, -125.000, 3.90869140625E-09
8270.499, -125.500, 3.90777587890625E-09
8269.999, -126.000, 3.90777587890625E-09
8269.499, -126.500, 3.9068603515625E-09
8268.999, -127.000, 3.90655517578125E-09
8268.499, -127.500, 3.9068603515625E-09
8267.999, -128.000, 3.90716552734375E-09
8267.499, -128.500, 3.90655517578125E-09
8266.999, -129.000, 3.90594482421875E-09
8266.499, -129.500, 3.90472412109375E-09
8265.999, -130.000, 3.905029296875E-09
8265.499, -130.500, 3.90411376953125E-09
8264.999, -131.000, 3.90380859375E-09
8264.499, -131.500, 3.905029296875E-09
8263.999, -132.000, 3.90411376953125E-09
8263.499, -132.500, 3.9031982421875E-09
8262.999, -133.000, 3.9031982421875E-09
8262.499, -133.500, 3.90228271484375E-09
8261.999, -134.000, 3.902587890625E-09
8261.499, -134.500, 3.9019775390625E-09
8260.999, -135.000, 3.90228271484375E-09
8260.499, -135.500, 3.900146484375E-09
8259.999, -136.000, 3.8995361328125E-09
8259.499, -136.500, 3.9007568359375E-09
8258.999, -137.000, 3.9013671875E-09
8258.499, -137.500, 3.90106201171875E-09
8257.999, -138.000, 3.89923095703125E-09
8257.499, -138.500, 3.89892578125E-09
8256.999, -139.000, 3.897705078125E-09
8256.499, -139.500, 3.9007568359375E-09
8255.999, -140.000, 3.89801025390625E-09
8255.499, -140.500, 3.89892578125E-09
8254.999, -141.000, 3.8970947265625E-09
8254.499, -141.500, 3.8970947265625E-09
8253.999, -142.000, 3.8958740234375E-09
8253.499, -142.500, 3.89617919921875E-09
8252.999, -143.000, 3.89556884765625E-09
8252.499, -143.500, 3.8958740234375E-09
8251.999, -144.000, 3.89556884765625E-09
8251.499, -144.500, 3.89373779296875E-09
8250.999, -145.000, 3.8946533203125E-09
8250.499, -145.500, 3.895263671875E-09
8249.999, -146.000, 3.89404296875E-09
8249.499, -146.500, 3.8934326171875E-09
8248.999, -147.000, 3.8922119140625E-09
8248.499, -147.500, 3.8916015625E-09
8247.999, -148.000, 3.89373779296875E-09
8247.499, -148.500, 3.89190673828125E-09
8246.999, -149.000, 3.89068603515625E-09
8246.499, -149.500, 3.89190673828125E-09
8245.999, -150.000, 3.89068603515625E-09
8245.499, -150.500, 3.890380859375E-09
8244.999, -151.000, 3.890380859375E-09
8244.499, -151.500, 3.88885498046875E-09
8243.999, -152.000, 3.89007568359375E-09
8243.499, -152.500, 3.88916015625E-09
8242.999, -153.000, 3.890380859375E-09
8242.499, -153.500, 3.887939453125E-09
8241.999, -154.000, 3.8885498046875E-09
8241.499, -154.500, 3.88763427734375E-09
8240.999, -155.000, 3.88671875E-09
8240.499, -155.500, 3.8885498046875E-09
8239.999, -156.000, 3.8873291015625E-09
8239.499, -156.500, 3.88641357421875E-09
8238.999, -157.000, 3.88702392578125E-09
8238.499, -157.500, 3.88580322265625E-09
8237.999, -158.000, 3.88702392578125E-09
8237.499, -158.500, 3.8848876953125E-09
8236.999, -159.000, 3.88641357421875E-09
8236.499, -159.500, 3.8848876953125E-09
8235.999, -160.000, 3.8836669921875E-09
8235.499, -160.500, 3.88427734375E-09
8234.999, -161.000, 3.88397216796875E-09
8234.499, -161.500, 3.883056640625E-09
8233.999, -162.000, 3.880615234375E-09
8233.499, -162.500, 3.88092041015625E-09
8232.999, -163.000, 3.88397216796875E-09
8232.499, -163.500, 3.88092041015625E-09
8231.999, -164.000, 3.88092041015625E-09
8231.499, -164.500, 3.8824462890625E-09
8230.999, -165.000, 3.88092041015625E-09
8230.499, -165.500, 3.87939453125E-09
8229.999, -166.000, 3.88092041015625E-09
8229.499, -166.500, 3.8787841796875E-09
8228.999, -167.000, 3.88092041015625E-09
8228.499, -167.500, 3.88031005859375E-09
8227.999, -168.000, 3.87908935546875E-09
8227.499, -168.500, 3.8775634765625E-09
8226.999, -169.000, 3.8787841796875E-09
8226.499, -169.500, 3.8787841796875E-09
8225.999, -170.000, 3.8763427734375E-09
8225.499, -170.500, 3.87725830078125E-09
8224.999, -171.000, 3.87603759765625E-09
8224.499, -171.500, 3.8775634765625E-09
8223.999, -172.000, 3.875732421875E-09
8223.499, -172.500, 3.8763427734375E-09
8222.999, -173.000, 3.87603759765625E-09
8222.499, -173.500, 3.87542724609375E-09
8221.999, -174.000, 3.87451171875E-09
8221.499, -174.500, 3.87451171875E-09
8220.999, -175.000, 3.8763427734375E-09
8220.499, -175.500, 3.8751220703125E-09
8219.999, -176.000, 3.87420654296875E-09
8219.499, -176.500, 3.87359619140625E-09
8218.999, -177.000, 3.87237548828125E-09
8218.499, -177.500, 3.87176513671875E-09
8217.999, -178.000, 3.8739013671875E-09
8217.499, -178.500, 3.8714599609375E-09
8216.999, -179.000, 3.870849609375E-09
8216.499, -179.500, 3.8720703125E-09
8215.999, -180.000, 3.87115478515625E-09
8215.499, -180.500, 3.87054443359375E-09
8214.999, -181.000, 3.8702392578125E-09
8214.499, -181.500, 3.870849609375E-09
8213.999, -182.000, 3.87054443359375E-09
8213.499, -182.500, 3.8702392578125E-09
8212.999, -183.000, 3.86962890625E-09
8212.499, -183.500, 3.8690185546875E-09
8211.999, -184.000, 3.86810302734375E-09
8211.499, -184.500, 3.86962890625E-09
8210.999, -185.000, 3.8690185546875E-09
8210.499, -185.500, 3.86810302734375E-09
8209.999, -186.000, 3.8677978515625E-09
8209.499, -186.500, 3.86871337890625E-09
8208.999, -187.000, 3.865966796875E-09
8208.499, -187.500, 3.86627197265625E-09
8207.999, -188.000, 3.86627197265625E-09
8207.499, -188.500, 3.8653564453125E-09
8206.999, -189.000, 3.86566162109375E-09
8206.499, -189.500, 3.86505126953125E-09
8205.999, -190.000, 3.86474609375E-09
8205.499, -190.500, 3.86505126953125E-09
8204.999, -191.000, 3.8641357421875E-09
8204.499, -191.500, 3.8653564453125E-09
8203.999, -192.000, 3.863525390625E-09
8203.499, -192.500, 3.86444091796875E-09
8202.999, -193.000, 3.86383056640625E-09
8202.499, -193.500, 3.863525390625E-09
8201.999, -194.000, 3.8629150390625E-09
8201.499, -194.500, 3.86199951171875E-09
