# Sensolytics: 3.12
# Line Scan
# Warning: the data-format is using a '.' as decimal sign. German Windows-systems may have problems with this...
# Experiment started: 5/8/2025 3:32:24 PM
# Stepper motors position: X 14,129.400 µm; Y 9,891.000 µm; Z 8,887.499 µm
# Piezo controller position: X 0.000 µm; Y 100.000 µm; Z 100.000 µm
# Potentiostat: ECD Off
# Potential WE1 at start [V]: 0.400
# Potential WE2 at start: OCP
# Controller: PCIe LStep Express
# Axis: ZAxis
# Direction: Negative
# Way [µm]: 5000
# Max. Speed [µm/s]: 1
# Increment [µm]: 0.5
# Waiting Time [ms]: 0
# Stop Condition: Manual
# Position abs. [µm], Position rel. [µm], I WE1 [A]
8880.999, -106.500, 3.9007568359375E-09
8880.499, -107.000, 3.89892578125E-09
8879.999, -107.500, 3.89984130859375E-09
8879.499, -108.000, 3.90045166015625E-09
8878.999, -108.500, 3.8995361328125E-09
8878.499, -109.000, 3.89923095703125E-09
8877.999, -109.500, 3.89984130859375E-09
8877.499, -110.000, 3.89984130859375E-09
8876.999, -110.500, 3.89923095703125E-09
8876.499, -111.000, 3.8983154296875E-09
8875.999, -111.500, 3.89923095703125E-09
8875.499, -112.000, 3.89892578125E-09
8874.999, -112.500, 3.8995361328125E-09
8874.499, -113.000, 3.89862060546875E-09
8873.999, -113.500, 3.8983154296875E-09
8873.499, -114.000, 3.89923095703125E-09
8872.999, -114.500, 3.89984130859375E-09
8872.499, -115.000, 3.89892578125E-09
8871.999, -115.500, 3.8970947265625E-09
8871.499, -116.000, 3.89678955078125E-09
8870.999, -116.500, 3.897705078125E-09
8870.499, -117.000, 3.89739990234375E-09
8869.999, -117.500, 3.89678955078125E-09
8869.499, -118.000, 3.89678955078125E-09
8868.999, -118.500, 3.8970947265625E-09
8868.499, -119.000, 3.896484375E-09
8867.999, -119.500, 3.89678955078125E-09
8867.499, -120.000, 3.89556884765625E-09
8866.999, -120.500, 3.89739990234375E-09
8866.499, -121.000, 3.8958740234375E-09
8865.999, -121.500, 3.89678955078125E-09
8865.499, -122.000, 3.895263671875E-09
8864.999, -122.500, 3.89495849609375E-09
8864.499, -123.000, 3.89617919921875E-09
8863.999, -123.500, 3.89556884765625E-09
8863.499, -124.000, 3.8946533203125E-09
8862.999, -124.500, 3.8946533203125E-09
8862.499, -125.000, 3.8946533203125E-09
8861.999, -125.500, 3.8946533203125E-09
8861.499, -126.000, 3.89404296875E-09
8860.999, -126.500, 3.89404296875E-09
8860.499, -127.000, 3.89404296875E-09
8859.999, -127.500, 3.8934326171875E-09
8859.499, -128.000, 3.8934326171875E-09
8858.999, -128.500, 3.89251708984375E-09
8858.499, -129.000, 3.8916015625E-09
8857.999, -129.500, 3.890380859375E-09
8857.499, -130.000, 3.8909912109375E-09
8856.999, -130.500, 3.8909912109375E-09
8856.499, -131.000, 3.8909912109375E-09
8855.999, -131.500, 3.89068603515625E-09
8855.499, -132.000, 3.89068603515625E-09
8854.999, -132.500, 3.89068603515625E-09
8854.499, -133.000, 3.89068603515625E-09
8853.999, -133.500, 3.89007568359375E-09
8853.499, -134.000, 3.89007568359375E-09
8852.999, -134.500, 3.8897705078125E-09
8852.499, -135.000, 3.88885498046875E-09
8851.999, -135.500, 3.88885498046875E-09
8851.499, -136.000, 3.8885498046875E-09
8850.999, -136.500, 3.88824462890625E-09
8850.499, -137.000, 3.88885498046875E-09
8849.999, -137.500, 3.88763427734375E-09
8849.499, -138.000, 3.8873291015625E-09
8848.999, -138.500, 3.88702392578125E-09
8848.499, -139.000, 3.8885498046875E-09
8847.999, -139.500, 3.88702392578125E-09
8847.499, -140.000, 3.88641357421875E-09
8846.999, -140.500, 3.8861083984375E-09
8846.499, -141.000, 3.885498046875E-09
8845.999, -141.500, 3.88458251953125E-09
8845.499, -142.000, 3.88519287109375E-09
8844.999, -142.500, 3.88519287109375E-09
8844.499, -143.000, 3.88397216796875E-09
8843.999, -143.500, 3.88427734375E-09
8843.499, -144.000, 3.8848876953125E-09
8842.999, -144.500, 3.88397216796875E-09
8842.499, -145.000, 3.8836669921875E-09
8841.999, -145.500, 3.88214111328125E-09
8841.499, -146.000, 3.88153076171875E-09
8840.999, -146.500, 3.8818359375E-09
8840.499, -147.000, 3.88153076171875E-09
8839.999, -147.500, 3.880615234375E-09
8839.499, -148.000, 3.8800048828125E-09
8838.999, -148.500, 3.87939453125E-09
8838.499, -149.000, 3.87939453125E-09
8837.999, -149.500, 3.8787841796875E-09
8837.499, -150.000, 3.87786865234375E-09
8836.999, -150.500, 3.87847900390625E-09
8836.499, -151.000, 3.878173828125E-09
8835.999, -151.500, 3.87725830078125E-09
8835.499, -152.000, 3.8763427734375E-09
8834.999, -152.500, 3.8763427734375E-09
8834.499, -153.000, 3.87664794921875E-09
8833.999, -153.500, 3.87451171875E-09
8833.499, -154.000, 3.87359619140625E-09
8832.999, -154.500, 3.87298583984375E-09
8832.499, -155.000, 3.87298583984375E-09
8831.999, -155.500, 3.8702392578125E-09
8831.499, -156.000, 3.8702392578125E-09
8830.999, -156.500, 3.86993408203125E-09
8830.499, -157.000, 3.86962890625E-09
8829.999, -157.500, 3.86932373046875E-09
8829.499, -158.000, 3.8690185546875E-09
8828.999, -158.500, 3.86810302734375E-09
8828.499, -159.000, 3.8677978515625E-09
8827.999, -159.500, 3.86749267578125E-09
8827.499, -160.000, 3.86627197265625E-09
8826.999, -160.500, 3.8653564453125E-09
8826.499, -161.000, 3.86444091796875E-09
8825.999, -161.500, 3.86383056640625E-09
8825.499, -162.000, 3.86260986328125E-09
8824.999, -162.500, 3.8616943359375E-09
8824.499, -163.000, 3.861083984375E-09
8823.999, -163.500, 3.86016845703125E-09
8823.499, -164.000, 3.858642578125E-09
8822.999, -164.500, 3.85833740234375E-09
8822.499, -165.000, 3.857421875E-09
8821.999, -165.500, 3.8568115234375E-09
8821.499, -166.000, 3.8555908203125E-09
8820.999, -166.500, 3.853759765625E-09
8820.499, -167.000, 3.85345458984375E-09
8819.999, -167.500, 3.8531494140625E-09
8819.499, -168.000, 3.8525390625E-09
8818.999, -168.500, 3.85040283203125E-09
8818.499, -169.000, 3.851318359375E-09
8817.999, -169.500, 3.84979248046875E-09
8817.499, -170.000, 3.84918212890625E-09
8816.999, -170.500, 3.84735107421875E-09
8816.499, -171.000, 3.8470458984375E-09
8815.999, -171.500, 3.84552001953125E-09
8815.499, -172.000, 3.84552001953125E-09
8814.999, -172.500, 3.84429931640625E-09
8814.499, -173.000, 3.8433837890625E-09
8813.999, -173.500, 3.84185791015625E-09
8813.499, -174.000, 3.841552734375E-09
8812.999, -174.500, 3.84063720703125E-09
8812.499, -175.000, 3.84002685546875E-09
8811.999, -175.500, 3.8385009765625E-09
8811.499, -176.000, 3.83941650390625E-09
8810.999, -176.500, 3.83697509765625E-09
8810.499, -177.000, 3.8360595703125E-09
8809.999, -177.500, 3.83636474609375E-09
8809.499, -178.000, 3.8348388671875E-09
8808.999, -178.500, 3.8336181640625E-09
8808.499, -179.000, 3.8323974609375E-09
8807.999, -179.500, 3.83331298828125E-09
8807.499, -180.000, 3.8323974609375E-09
8806.999, -180.500, 3.831787109375E-09
8806.499, -181.000, 3.83056640625E-09
8805.999, -181.500, 3.82965087890625E-09
8805.499, -182.000, 3.828125E-09
8804.999, -182.500, 3.8287353515625E-09
8804.499, -183.000, 3.82904052734375E-09
8803.999, -183.500, 3.826904296875E-09
8803.499, -184.000, 3.82843017578125E-09
8802.999, -184.500, 3.828125E-09
8802.499, -185.000, 3.82781982421875E-09
8801.999, -185.500, 3.828125E-09
8801.499, -186.000, 3.82720947265625E-09
8800.999, -186.500, 3.82659912109375E-09
8800.499, -187.000, 3.82781982421875E-09
8799.999, -187.500, 3.82720947265625E-09
8799.499, -188.000, 3.828125E-09
8798.999, -188.500, 3.826904296875E-09
8798.499, -189.000, 3.82720947265625E-09
8797.999, -189.500, 3.82720947265625E-09
8797.499, -190.000, 3.82781982421875E-09
8796.999, -190.500, 3.828125E-09
8796.499, -191.000, 3.82843017578125E-09
8795.999, -191.500, 3.82843017578125E-09
8795.499, -192.000, 3.82965087890625E-09
8794.999, -192.500, 3.82965087890625E-09
8794.499, -193.000, 3.82965087890625E-09
8793.999, -193.500, 3.82965087890625E-09
8793.499, -194.000, 3.831787109375E-09
8792.999, -194.500, 3.83270263671875E-09
8792.499, -195.000, 3.831787109375E-09
8791.999, -195.500, 3.83209228515625E-09
8791.499, -196.000, 3.83331298828125E-09
8790.999, -196.500, 3.834228515625E-09
8790.499, -197.000, 3.83453369140625E-09
8789.999, -197.500, 3.83453369140625E-09
8789.499, -198.000, 3.8348388671875E-09
8788.999, -198.500, 3.8360595703125E-09
